Rented Bike Count,Date,Hour,Seasons,Temperature(°C),Humidity(%),Rainfall(mm),label_day_night,WeekDay,Month,Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Seul
403,2018-01-02,19,Winter,-1.3,28.0,0.0,Day,Tuesday,1,2.4,2000.0,-17.5,1
364,2018-01-02,20,Winter,-1.9,26.0,0.0,Day,Tuesday,1,2.2,2000.0,-18.9,1
304,2018-01-02,21,Winter,-2.6,28.0,0.0,Night,Tuesday,1,2.0,2000.0,-18.6,1
273,2018-01-02,22,Winter,-3.4,33.0,0.0,Night,Tuesday,1,2.4,2000.0,-17.4,1
186,2018-01-02,23,Winter,-3.8,35.0,0.0,Night,Tuesday,1,2.3,2000.0,-17.0,1
160,2018-01-03,0,Winter,-4.3,38.0,0.0,Night,Wednesday,1,1.4,2000.0,-16.5,1
130,2018-01-03,1,Winter,-5.0,42.0,0.0,Night,Wednesday,1,1.2,1993.0,-15.9,1
110,2018-01-03,2,Winter,-5.5,43.0,0.0,Night,Wednesday,1,2.0,2000.0,-16.1,1
67,2018-01-03,3,Winter,-6.1,45.0,0.0,Night,Wednesday,1,1.3,1999.0,-16.1,1
43,2018-01-03,4,Winter,-6.1,45.0,0.0,Night,Wednesday,1,2.3,2000.0,-16.1,1
67,2018-01-03,5,Winter,-6.4,47.0,0.0,Day,Wednesday,1,2.4,1981.0,-15.8,1
137,2018-01-03,6,Winter,-6.7,48.0,0.0,Day,Wednesday,1,2.4,1991.0,-15.9,1
308,2018-01-03,7,Winter,-6.9,48.0,0.0,Day,Wednesday,1,2.4,1974.0,-16.0,1
670,2018-01-03,8,Winter,-7.0,49.0,0.0,Day,Wednesday,1,1.5,1971.0,-15.9,1
342,2018-01-03,9,Winter,-6.8,44.0,0.0,Day,Wednesday,1,1.7,1858.0,-17.0,1
213,2018-01-03,10,Winter,-5.6,38.0,0.0,Day,Wednesday,1,2.9,1752.0,-17.6,1
267,2018-01-03,11,Winter,-4.5,36.0,0.0,Day,Wednesday,1,3.2,1736.0,-17.3,1
297,2018-01-03,12,Winter,-3.4,32.0,0.0,Day,Wednesday,1,3.1,1706.0,-17.7,1
279,2018-01-03,13,Winter,-2.2,31.0,0.0,Day,Wednesday,1,2.3,1910.0,-17.0,1
270,2018-01-03,14,Winter,-1.5,30.0,0.0,Day,Wednesday,1,2.8,1903.0,-16.8,1
286,2018-01-03,15,Winter,-1.1,29.0,0.0,Day,Wednesday,1,2.8,1976.0,-16.9,1
299,2018-01-03,16,Winter,-0.4,30.0,0.0,Day,Wednesday,1,2.0,2000.0,-15.9,1
382,2018-01-03,17,Winter,-1.9,35.0,0.0,Day,Wednesday,1,1.8,2000.0,-15.3,1
637,2018-01-03,18,Winter,-3.1,39.0,0.0,Day,Wednesday,1,2.1,2000.0,-15.1,1
431,2018-01-03,19,Winter,-3.7,41.0,0.0,Day,Wednesday,1,2.0,2000.0,-15.0,1
294,2018-01-03,20,Winter,-3.9,44.0,0.0,Day,Wednesday,1,2.5,2000.0,-14.3,1
335,2018-01-03,21,Winter,-4.3,47.0,0.0,Night,Wednesday,1,2.8,1997.0,-13.9,1
291,2018-01-03,22,Winter,-5.2,53.0,0.0,Night,Wednesday,1,1.3,1969.0,-13.3,1
197,2018-01-03,23,Winter,-5.9,54.0,0.0,Night,Wednesday,1,0.8,1968.0,-13.7,1
159,2018-01-04,0,Winter,-6.3,54.0,0.0,Night,Thursday,1,1.4,1990.0,-14.1,1
150,2018-01-04,1,Winter,-6.9,56.0,0.0,Night,Thursday,1,2.3,1994.0,-14.2,1
123,2018-01-04,2,Winter,-7.3,57.0,0.0,Night,Thursday,1,2.0,1978.0,-14.3,1
57,2018-01-04,3,Winter,-7.4,54.0,0.0,Night,Thursday,1,1.7,1968.0,-15.1,1
38,2018-01-04,4,Winter,-7.5,55.0,0.0,Night,Thursday,1,1.3,1984.0,-15.0,1
66,2018-01-04,5,Winter,-7.6,49.0,0.0,Day,Thursday,1,1.3,2000.0,-16.4,1
120,2018-01-04,6,Winter,-7.6,47.0,0.0,Day,Thursday,1,2.3,2000.0,-16.9,1
302,2018-01-04,7,Winter,-8.1,51.0,0.0,Day,Thursday,1,0.5,1987.0,-16.4,1
646,2018-01-04,8,Winter,-8.6,55.0,0.0,Day,Thursday,1,0.6,1984.0,-16.0,1
340,2018-01-04,9,Winter,-7.9,48.0,0.0,Day,Thursday,1,1.2,1926.0,-17.0,1
197,2018-01-04,10,Winter,-6.4,43.0,0.0,Day,Thursday,1,1.0,1872.0,-16.9,1
264,2018-01-04,11,Winter,-4.4,40.0,0.0,Day,Thursday,1,0.8,1671.0,-16.0,1
290,2018-01-04,12,Winter,-2.9,33.0,0.0,Day,Thursday,1,0.9,1813.0,-16.9,1
284,2018-01-04,13,Winter,-2.0,32.0,0.0,Day,Thursday,1,1.0,1864.0,-16.5,1
262,2018-01-04,14,Winter,-0.8,32.0,0.0,Day,Thursday,1,1.4,1846.0,-15.4,1
281,2018-01-04,15,Winter,-1.2,31.0,0.0,Day,Thursday,1,0.8,1732.0,-16.2,1
309,2018-01-04,16,Winter,-1.4,34.0,0.0,Day,Thursday,1,1.8,1719.0,-15.2,1
397,2018-01-04,17,Winter,-2.1,37.0,0.0,Day,Thursday,1,1.4,1591.0,-14.8,1
603,2018-01-04,18,Winter,-2.6,38.0,0.0,Day,Thursday,1,1.4,1604.0,-14.9,1
417,2018-01-04,19,Winter,-2.7,39.0,0.0,Day,Thursday,1,1.4,1616.0,-14.7,1
311,2018-01-04,20,Winter,-2.8,39.0,0.0,Day,Thursday,1,1.7,1702.0,-14.8,1
310,2018-01-04,21,Winter,-3.1,41.0,0.0,Night,Thursday,1,2.0,1742.0,-14.5,1
306,2018-01-04,22,Winter,-3.6,46.0,0.0,Night,Thursday,1,1.3,1689.0,-13.5,1
221,2018-01-04,23,Winter,-4.0,48.0,0.0,Night,Thursday,1,1.5,1536.0,-13.4,1
202,2018-01-05,0,Winter,-4.7,52.0,0.0,Night,Friday,1,1.8,1611.0,-13.0,1
170,2018-01-05,1,Winter,-5.1,51.0,0.0,Night,Friday,1,1.5,1550.0,-13.6,1
118,2018-01-05,2,Winter,-5.3,52.0,0.0,Night,Friday,1,1.6,1481.0,-13.6,1
67,2018-01-05,3,Winter,-5.5,56.0,0.0,Night,Friday,1,1.1,1453.0,-12.9,1
47,2018-01-05,4,Winter,-5.1,55.0,0.0,Night,Friday,1,1.7,1266.0,-12.7,1
75,2018-01-05,5,Winter,-5.1,55.0,0.0,Day,Friday,1,1.5,1452.0,-12.7,1
123,2018-01-05,6,Winter,-5.1,54.0,0.0,Day,Friday,1,1.3,1346.0,-12.9,1
327,2018-01-05,7,Winter,-5.3,53.0,0.0,Day,Friday,1,1.1,1300.0,-13.4,1
665,2018-01-05,8,Winter,-5.3,51.0,0.0,Day,Friday,1,1.0,1319.0,-13.8,1
354,2018-01-05,9,Winter,-4.7,49.0,0.0,Day,Friday,1,1.2,1550.0,-13.8,1
232,2018-01-05,10,Winter,-3.3,50.0,0.0,Day,Friday,1,1.3,1407.0,-12.2,1
308,2018-01-05,11,Winter,-0.7,45.0,0.0,Day,Friday,1,1.5,1429.0,-11.1,1
362,2018-01-05,12,Winter,-0.3,45.0,0.0,Day,Friday,1,2.2,1066.0,-10.8,1
312,2018-01-05,13,Winter,0.9,43.0,0.0,Day,Friday,1,2.0,1112.0,-10.2,1
343,2018-01-05,14,Winter,1.4,41.0,0.0,Day,Friday,1,2.0,1003.0,-10.4,1
333,2018-01-05,15,Winter,1.5,34.0,0.0,Day,Friday,1,2.8,1776.0,-12.6,1
329,2018-01-05,16,Winter,1.0,34.0,0.0,Day,Friday,1,2.9,2000.0,-13.1,1
446,2018-01-05,17,Winter,-0.6,45.0,0.0,Day,Friday,1,3.3,1827.0,-11.0,1
635,2018-01-05,18,Winter,-1.8,44.0,0.0,Day,Friday,1,2.2,1709.0,-12.4,1
443,2018-01-05,19,Winter,-2.5,49.0,0.0,Day,Friday,1,0.6,1436.0,-11.7,1
322,2018-01-05,20,Winter,-3.4,51.0,0.0,Day,Friday,1,1.1,1391.0,-12.1,1
284,2018-01-05,21,Winter,-3.5,53.0,0.0,Night,Friday,1,0.9,1353.0,-11.7,1
281,2018-01-05,22,Winter,-3.8,53.0,0.0,Night,Friday,1,1.3,1300.0,-12.0,1
189,2018-01-05,23,Winter,-3.6,50.0,0.0,Night,Friday,1,1.9,1284.0,-12.5,1
184,2018-01-06,0,Winter,-4.3,52.0,0.0,Night,Saturday,1,1.6,1247.0,-12.7,1
222,2018-01-06,1,Winter,-4.8,54.0,0.0,Night,Saturday,1,1.2,1219.0,-12.7,1
176,2018-01-06,2,Winter,-5.5,56.0,0.0,Night,Saturday,1,1.4,1285.0,-12.9,1
103,2018-01-06,3,Winter,-5.6,56.0,0.0,Night,Saturday,1,1.0,1367.0,-13.0,1
61,2018-01-06,4,Winter,-5.9,61.0,0.0,Night,Saturday,1,1.1,1260.0,-12.2,1
48,2018-01-06,5,Winter,-6.1,64.0,0.0,Day,Saturday,1,1.0,1231.0,-11.8,1
69,2018-01-06,6,Winter,-6.5,67.0,0.0,Day,Saturday,1,0.7,1175.0,-11.6,1
105,2018-01-06,7,Winter,-6.6,65.0,0.0,Day,Saturday,1,1.0,1320.0,-12.0,1
186,2018-01-06,8,Winter,-6.5,62.0,0.0,Day,Saturday,1,1.1,1503.0,-12.5,1
221,2018-01-06,9,Winter,-5.8,49.0,0.0,Day,Saturday,1,1.4,1728.0,-14.8,1
204,2018-01-06,10,Winter,-3.5,39.0,0.0,Day,Saturday,1,2.0,1946.0,-15.4,1
245,2018-01-06,11,Winter,-1.6,35.0,0.0,Day,Saturday,1,2.1,1812.0,-15.1,1
283,2018-01-06,12,Winter,0.0,35.0,0.0,Day,Saturday,1,2.3,1672.0,-13.6,1
356,2018-01-06,13,Winter,0.9,28.0,0.0,Day,Saturday,1,2.4,1895.0,-15.6,1
370,2018-01-06,14,Winter,1.8,29.0,0.0,Day,Saturday,1,2.0,1693.0,-14.3,1
373,2018-01-06,15,Winter,2.3,27.0,0.0,Day,Saturday,1,2.2,1877.0,-14.8,1
352,2018-01-06,16,Winter,2.7,27.0,0.0,Day,Saturday,1,2.2,1811.0,-14.4,1
354,2018-01-06,17,Winter,1.1,31.0,0.0,Day,Saturday,1,1.7,1989.0,-14.1,1
271,2018-01-06,18,Winter,-0.6,37.0,0.0,Day,Saturday,1,1.6,1797.0,-13.5,1
207,2018-01-06,19,Winter,-1.2,37.0,0.0,Day,Saturday,1,1.2,1663.0,-14.0,1
189,2018-01-06,20,Winter,-2.1,41.0,0.0,Day,Saturday,1,1.1,1578.0,-13.6,1
214,2018-01-06,21,Winter,-2.5,47.0,0.0,Night,Saturday,1,0.8,1495.0,-12.2,1
218,2018-01-06,22,Winter,-2.6,47.0,0.0,Night,Saturday,1,1.6,1492.0,-12.3,1
169,2018-01-06,23,Winter,-3.2,50.0,0.0,Night,Saturday,1,0.8,1429.0,-12.1,1
192,2018-01-07,0,Winter,-3.8,48.0,0.0,Night,Sunday,1,0.7,1574.0,-13.2,1
162,2018-01-07,1,Winter,-3.9,51.0,0.0,Night,Sunday,1,0.2,1535.0,-12.5,1
128,2018-01-07,2,Winter,-4.4,53.0,0.0,Night,Sunday,1,0.3,1594.0,-12.5,1
102,2018-01-07,3,Winter,-4.8,56.0,0.0,Night,Sunday,1,0.6,1505.0,-12.2,1
62,2018-01-07,4,Winter,-5.1,60.0,0.0,Night,Sunday,1,0.7,1377.0,-11.6,1
40,2018-01-07,5,Winter,-5.6,58.0,0.0,Day,Sunday,1,0.7,1350.0,-12.5,1
38,2018-01-07,6,Winter,-5.5,52.0,0.0,Day,Sunday,1,0.7,1503.0,-13.8,1
60,2018-01-07,7,Winter,-5.6,58.0,0.0,Day,Sunday,1,0.9,1368.0,-12.5,1
122,2018-01-07,8,Winter,-5.3,53.0,0.0,Day,Sunday,1,1.1,1411.0,-13.4,1
143,2018-01-07,9,Winter,-3.8,49.0,0.0,Day,Sunday,1,1.6,1371.0,-12.9,1
179,2018-01-07,10,Winter,-1.8,40.0,0.0,Day,Sunday,1,1.8,1555.0,-13.6,1
214,2018-01-07,11,Winter,0.5,35.0,0.0,Day,Sunday,1,1.4,1558.0,-13.2,1
278,2018-01-07,12,Winter,1.1,34.0,0.0,Day,Sunday,1,0.9,1455.0,-13.0,1
265,2018-01-07,13,Winter,1.4,34.0,0.0,Day,Sunday,1,0.8,1394.0,-12.7,1
331,2018-01-07,14,Winter,1.9,32.0,0.0,Day,Sunday,1,0.7,1368.0,-13.0,1
368,2018-01-07,15,Winter,2.7,31.0,0.0,Day,Sunday,1,0.9,1603.0,-12.7,1
333,2018-01-07,16,Winter,2.6,32.0,0.0,Day,Sunday,1,1.0,1381.0,-12.4,1
349,2018-01-07,17,Winter,2.3,33.0,0.0,Day,Sunday,1,0.2,1515.0,-12.3,1
270,2018-01-07,18,Winter,1.8,34.0,0.0,Day,Sunday,1,1.2,1518.0,-12.4,1
246,2018-01-07,19,Winter,1.6,35.0,0.0,Day,Sunday,1,1.0,1419.0,-12.2,1
233,2018-01-07,20,Winter,1.3,38.0,0.0,Day,Sunday,1,0.4,1386.0,-11.4,1
236,2018-01-07,21,Winter,1.2,39.0,0.0,Night,Sunday,1,0.6,1378.0,-11.2,1
214,2018-01-07,22,Winter,1.1,40.0,0.0,Night,Sunday,1,0.5,1305.0,-11.0,1
149,2018-01-07,23,Winter,1.1,39.0,0.0,Night,Sunday,1,0.6,1422.0,-11.3,1
149,2018-01-08,0,Winter,0.9,42.0,0.0,Night,Monday,1,1.1,1271.0,-10.5,1
109,2018-01-08,1,Winter,0.9,42.0,0.0,Night,Monday,1,0.2,1333.0,-10.5,1
77,2018-01-08,2,Winter,0.8,42.0,0.0,Night,Monday,1,0.5,1275.0,-10.6,1
53,2018-01-08,3,Winter,0.9,43.0,0.0,Night,Monday,1,0.4,1261.0,-10.2,1
46,2018-01-08,4,Winter,1.0,43.0,0.0,Night,Monday,1,0.8,1253.0,-10.2,1
67,2018-01-08,5,Winter,0.8,42.0,0.0,Day,Monday,1,1.0,1394.0,-10.6,1
159,2018-01-08,6,Winter,0.8,45.0,0.0,Day,Monday,1,0.7,1268.0,-9.8,1
374,2018-01-08,7,Winter,0.7,44.0,0.0,Day,Monday,1,0.8,1357.0,-10.1,1
701,2018-01-08,8,Winter,0.7,45.0,0.0,Day,Monday,1,0.7,1339.0,-9.9,1
387,2018-01-08,9,Winter,0.8,47.0,0.0,Day,Monday,1,0.9,1070.0,-9.2,1
253,2018-01-08,10,Winter,1.3,43.0,0.0,Day,Monday,1,0.8,971.0,-9.9,1
278,2018-01-08,11,Winter,1.7,37.0,0.0,Day,Monday,1,0.6,1062.0,-11.4,1
356,2018-01-08,12,Winter,2.7,33.0,0.0,Day,Monday,1,2.7,1281.0,-12.0,1
303,2018-01-08,13,Winter,3.0,32.0,0.0,Day,Monday,1,1.6,1518.0,-12.1,1
349,2018-01-08,14,Winter,3.4,31.0,0.0,Day,Monday,1,1.4,1267.0,-12.1,1
318,2018-01-08,15,Winter,3.9,33.0,0.0,Day,Monday,1,1.8,1293.0,-10.9,1
353,2018-01-08,16,Winter,3.5,36.0,0.0,Day,Monday,1,1.7,1702.0,-10.2,1
385,2018-01-08,17,Winter,2.7,50.0,0.0,Day,Monday,1,2.8,1957.0,-6.7,1
316,2018-01-08,18,Winter,1.5,70.0,0.0,Day,Monday,1,2.5,638.0,-3.3,1
127,2018-01-08,19,Winter,0.9,88.0,0.0,Day,Monday,1,1.6,290.0,-0.8,1
144,2018-01-08,20,Winter,1.0,89.0,0.0,Day,Monday,1,1.9,407.0,-0.6,1
146,2018-01-08,21,Winter,0.7,77.0,0.9,Night,Monday,1,6.7,692.0,-2.8,1
149,2018-01-08,22,Winter,0.1,68.0,0.0,Night,Monday,1,4.6,740.0,-5.1,1
112,2018-01-08,23,Winter,-0.6,62.0,0.0,Night,Monday,1,4.2,936.0,-6.9,1
100,2018-01-09,0,Winter,-1.2,67.0,0.0,Night,Tuesday,1,4.6,983.0,-6.5,1
107,2018-01-09,1,Winter,-1.9,69.0,0.0,Night,Tuesday,1,5.0,791.0,-6.8,1
75,2018-01-09,2,Winter,-2.9,66.0,0.0,Night,Tuesday,1,3.3,1515.0,-8.3,1
52,2018-01-09,3,Winter,-3.4,67.0,0.0,Night,Tuesday,1,3.2,1420.0,-8.6,1
38,2018-01-09,4,Winter,-4.3,59.0,0.0,Night,Tuesday,1,4.4,1451.0,-11.1,1
52,2018-01-09,5,Winter,-5.1,48.0,0.0,Day,Tuesday,1,3.2,1821.0,-14.4,1
126,2018-01-09,6,Winter,-5.6,52.0,0.0,Day,Tuesday,1,3.7,1785.0,-13.9,1
245,2018-01-09,7,Winter,-5.9,57.0,0.0,Day,Tuesday,1,3.1,1686.0,-13.0,1
554,2018-01-09,8,Winter,-6.0,64.0,0.0,Day,Tuesday,1,3.2,1384.0,-11.7,1
320,2018-01-09,9,Winter,-6.0,61.0,0.0,Day,Tuesday,1,2.5,1547.0,-12.3,1
190,2018-01-09,10,Winter,-4.8,57.0,0.0,Day,Tuesday,1,3.0,1559.0,-12.0,1
247,2018-01-09,11,Winter,-3.9,51.0,0.0,Day,Tuesday,1,4.5,1746.0,-12.5,1
262,2018-01-09,12,Winter,-2.7,45.0,0.0,Day,Tuesday,1,2.4,1707.0,-13.0,1
265,2018-01-09,13,Winter,-2.6,45.0,0.0,Day,Tuesday,1,4.0,1663.0,-12.9,1
265,2018-01-09,14,Winter,-1.8,45.0,0.0,Day,Tuesday,1,3.7,1922.0,-12.1,1
257,2018-01-09,15,Winter,-2.4,51.0,0.0,Day,Tuesday,1,4.6,1458.0,-11.1,1
262,2018-01-09,16,Winter,-2.4,56.0,0.0,Day,Tuesday,1,3.3,1541.0,-9.9,1
332,2018-01-09,17,Winter,-2.9,66.0,0.0,Day,Tuesday,1,3.6,743.0,-8.3,1
558,2018-01-09,18,Winter,-3.8,58.0,0.0,Day,Tuesday,1,1.7,1996.0,-10.8,1
364,2018-01-09,19,Winter,-4.5,57.0,0.0,Day,Tuesday,1,0.6,2000.0,-11.7,1
302,2018-01-09,20,Winter,-4.9,59.0,0.0,Day,Tuesday,1,0.6,1992.0,-11.6,1
281,2018-01-09,21,Winter,-4.8,59.0,0.0,Night,Tuesday,1,0.9,2000.0,-11.6,1
166,2018-01-09,22,Winter,-4.2,67.0,0.0,Night,Tuesday,1,1.6,503.0,-9.4,1
80,2018-01-09,23,Winter,-4.9,80.0,0.0,Night,Tuesday,1,0.7,690.0,-7.8,1
61,2018-01-10,0,Winter,-5.2,82.0,0.5,Night,Wednesday,1,0.8,152.0,-7.7,1
78,2018-01-10,1,Winter,-5.6,75.0,0.0,Night,Wednesday,1,1.7,1982.0,-9.3,1
63,2018-01-10,2,Winter,-5.7,72.0,0.0,Night,Wednesday,1,1.2,1925.0,-9.9,1
40,2018-01-10,3,Winter,-6.1,70.0,0.3,Night,Wednesday,1,1.1,2000.0,-10.6,1
31,2018-01-10,4,Winter,-6.6,72.0,0.0,Night,Wednesday,1,2.2,2000.0,-10.8,1
39,2018-01-10,5,Winter,-7.3,75.0,0.0,Day,Wednesday,1,1.6,2000.0,-10.9,1
84,2018-01-10,6,Winter,-7.7,74.0,0.0,Day,Wednesday,1,1.1,2000.0,-11.5,1
158,2018-01-10,7,Winter,-8.0,70.0,0.0,Day,Wednesday,1,1.8,2000.0,-12.5,1
387,2018-01-10,8,Winter,-7.9,67.0,0.0,Day,Wednesday,1,2.6,1896.0,-12.9,1
225,2018-01-10,9,Winter,-7.7,62.0,0.0,Day,Wednesday,1,3.6,1637.0,-13.7,1
150,2018-01-10,10,Winter,-6.9,53.0,0.0,Day,Wednesday,1,3.2,1576.0,-14.8,1
168,2018-01-10,11,Winter,-6.4,49.0,0.0,Day,Wednesday,1,4.5,1759.0,-15.3,1
217,2018-01-10,12,Winter,-5.6,44.0,0.0,Day,Wednesday,1,4.5,1830.0,-15.9,1
207,2018-01-10,13,Winter,-5.1,43.0,0.0,Day,Wednesday,1,4.7,1901.0,-15.7,1
177,2018-01-10,14,Winter,-5.3,37.0,0.0,Day,Wednesday,1,5.3,2000.0,-17.7,1
193,2018-01-10,15,Winter,-5.3,33.0,0.0,Day,Wednesday,1,4.8,2000.0,-19.0,1
196,2018-01-10,16,Winter,-5.4,30.0,0.0,Day,Wednesday,1,3.9,2000.0,-20.2,1
266,2018-01-10,17,Winter,-6.5,34.0,0.0,Day,Wednesday,1,4.0,2000.0,-19.8,1
437,2018-01-10,18,Winter,-7.8,32.0,0.0,Day,Wednesday,1,4.5,2000.0,-21.6,1
259,2018-01-10,19,Winter,-8.5,35.0,0.0,Day,Wednesday,1,2.9,2000.0,-21.2,1
207,2018-01-10,20,Winter,-8.9,41.0,0.0,Day,Wednesday,1,2.3,2000.0,-19.7,1
214,2018-01-10,21,Winter,-9.4,47.0,0.0,Night,Wednesday,1,2.0,2000.0,-18.6,1
165,2018-01-10,22,Winter,-9.7,51.0,0.0,Night,Wednesday,1,2.8,2000.0,-17.9,1
139,2018-01-10,23,Winter,-10.2,53.0,0.0,Night,Wednesday,1,3.3,1997.0,-17.9,1
98,2018-01-11,0,Winter,-10.3,54.0,0.0,Night,Thursday,1,2.4,1988.0,-17.8,1
100,2018-01-11,1,Winter,-10.6,55.0,0.0,Night,Thursday,1,2.9,1987.0,-17.9,1
89,2018-01-11,2,Winter,-10.9,57.0,0.0,Night,Thursday,1,2.7,1900.0,-17.7,1
38,2018-01-11,3,Winter,-11.2,59.0,0.0,Night,Thursday,1,2.9,1872.0,-17.6,1
33,2018-01-11,4,Winter,-11.5,57.0,0.0,Night,Thursday,1,2.3,1899.0,-18.3,1
42,2018-01-11,5,Winter,-11.9,61.0,0.0,Day,Thursday,1,1.8,1759.0,-17.9,1
82,2018-01-11,6,Winter,-12.0,61.0,0.0,Day,Thursday,1,2.3,1709.0,-18.0,1
203,2018-01-11,7,Winter,-12.3,59.0,0.0,Day,Thursday,1,2.3,1738.0,-18.6,1
443,2018-01-11,8,Winter,-12.6,61.0,0.0,Day,Thursday,1,1.6,1610.0,-18.5,1
227,2018-01-11,9,Winter,-12.0,53.0,0.0,Day,Thursday,1,2.6,1781.0,-19.6,1
152,2018-01-11,10,Winter,-11.1,46.0,0.0,Day,Thursday,1,3.7,1638.0,-20.4,1
146,2018-01-11,11,Winter,-10.2,41.0,0.0,Day,Thursday,1,3.5,1629.0,-20.9,1
187,2018-01-11,12,Winter,-8.6,40.0,0.0,Day,Thursday,1,2.6,1700.0,-19.8,1
178,2018-01-11,13,Winter,-8.6,41.0,0.0,Day,Thursday,1,3.4,1593.0,-19.5,1
187,2018-01-11,14,Winter,-7.4,38.0,0.0,Day,Thursday,1,3.3,1718.0,-19.3,1
181,2018-01-11,15,Winter,-8.3,42.0,0.0,Day,Thursday,1,3.8,1745.0,-18.9,1
